title,release_year,main_character_name,main_character_gender,country
Intimacies of a Prostitute,1972,Isabel Sarli,Female,Argentina
Operación masacre,1973,Marta Albanese,Male,Argentina
Furia en la isla,1978,Libertad Leblanc,Female,Argentina
La Mary,1974,Susana Giménez,Female,Argentina
Juan Manuel de Rosas,1972,Rodolfo Bebán,Male,Argentina
Trapito,1975,Pelusa Suero,Male,Argentina
Grandma,1979,Pepe Soriano,Male,Argentina
Woman and Temptation,1966,Isabel Sarli,Female,Argentina
Más bonita que ninguna,1965,Rocío Dúrcal,Female,Argentina
La diosa impura,1963,Isabel Sarli,Female,Argentina
The Jewish Gauchos,1975,Pepe Soriano,Male,Argentina
The Pink Pussy: Where Sin Lives,1964,Libertad Leblanc,Female,Argentina
Encuentros muy cercanos con señoras de cualquier tipo,1978,Alberto Olmedo,Male,Argentina
The Days of the Past,1977,Marisol,Female,Argentina
My Girlfriend the ...,1975,Alberto Olmedo,Male,Argentina
Punishment to the Traitor,1966,Sergio Renán,Male,Argentina
Somos novios,1969,Palito Ortega,Male,Argentina
The Inquisitor,1975,María Aurelia Bisutti,Female,Argentina
Ladies Bodyguard,1979,Jorge Porcel,Male,Argentina
Los caballeros de la cama redonda,1973,Jorge Porcel,Male,Argentina
The Fiaca,1969,Norman Briski,Male,Argentina
Love in Flight,1967,Rocío Dúrcal,Female,Argentina
El mundo que inventamos,1973,Sabú,Male,Argentina
Circe,1964,Graciela Borges,Female,Argentina
"Buenas noches, Buenos Aires",1964,Hugo del Carril,Male,Argentina
La casa de las sombras,1976,Yvonne De Carlo,Female,Argentina
Los doctores las prefieren desnudas,1973,Alberto Olmedo,Male,Argentina
Las venganzas de Beto Sánchez,1973,Pepe Soriano,Male,Argentina
Expertos en Pinchazos,1979,Alberto Olmedo,Male,Argentina
José María y María José: Una pareja de hoy,1973,Luis Brandoni,Male,Argentina
The Naked Beast,1971,Norberto Aroldi,Male,Argentina
El rey de los exhortos,1979,Alberto Olmedo,Male,Argentina
Correa Cotto: así me llaman!,1970,Soledad Acosta,Female,Argentina
La madre María,1974,Tita Merello,Female,Argentina
Las pirañas,1967,Sonia Bruno,Female,Argentina
Pajarito Gómez,1965,Héctor Pellegrini,Male,Argentina
La leona,1964,Isabel Sarli,Female,Argentina
Jacinta Pichimauida se enamora,1977,María de los Ángeles Medrano,Female,Argentina
On the Beach by the Sea,1971,Tono Andreu,Male,Argentina
The Hand in the Trap,1961,Elsa Daniel,Female,Argentina
Men Only Think of That,1976,Alberto Olmedo,Male,Argentina
Los muchachos de mi barrio,1970,Palito Ortega,Male,Argentina
Los días calientes,1966,Isabel Sarli,Female,Argentina
Dos locos en el aire,1976,Palito Ortega,Male,Argentina
The Island,1979,Selva Alemán,Female,Argentina
Juventud sin barreras,1979,Liliana Poggio,Male,Argentina
A Boy Like Me,1968,Palito Ortega,Male,Argentina
My Husband Doesn't Do It,1978,Alberto Olmedo,Male,Argentina
Yesterday's Guys Used No Arsenic,1976,Mecha Ortiz,Female,Argentina
La mala vida,1973,Hugo del Carril,Male,Argentina
The Great Adventure,1974,Juan José Camero,Male,Argentina
Piloto de pruebas,1972,Ricardo Bauleo,Male,Argentina
Placer sangriento,1967,Alberto Candeau,Male,Argentina
La perra,1967,Libertad Leblanc,Female,Argentina
Turismo de carretera,1968,María Vaner,Female,Argentina
Diary of a Pig War,1975,José Slavin,Male,Argentina
The Kids Grow Up,1976,Luis Sandrini,Male,Argentina
A Long Journey,1967,Enrique Kaulen,Male,Argentina
Los irrompibles,1975,Jorge Martínez,Male,Argentina
Los hijos de Fierro,1978,Julio Troxler,Male,Argentina
Andrea,1973,Andrea Del Boca,Female,Argentina
Juan Moreira,1973,Rodolfo Bebán,Male,Argentina
Tú y yo somos tres,1962,Analía Gadé,Female,Argentina
Simplemente una rosa,1971,Leonardo Favio,Male,Argentina
Contigo y aquí,1974,Elena Cruz,Female,Argentina
Yo también tengo fiaca,1978,Susana Giménez,Female,Argentina
Psique y sexo,1965,Tito Alonso,Male,Argentina
In the Driver's Seat,1972,Claudio García Satur,Male,Argentina
Don Segundo Sombra,1969,Adolfo Güiraldes,Male,Argentina
En mi casa mando yo,1968,Luis Sandrini,Male,Argentina
Triangle of Four,1975,Thelma Biral,Female,Argentina
Bajo el signo de la patria,1971,Ignacio Quirós,Male,Argentina
Odd Number,1962,Lautaro Murúa,Male,Argentina
El veraneo de los Campanelli,1971,Alberto Anchart,Male,Argentina
The Inheritors,1970,Norma Aleandro,Female,Argentina
Body Shop,1974,Jorge Porcel,Male,Argentina
"Olga, la hija de aquella princesa rusa",1972,Eduardo Bergara Leumann,Male,Argentina
America's Fat,1976,Jorge Porcel,Male,Argentina
The Old Young People,1962,María Vaner,Female,Argentina
Amorina,1961,Tita Merello,Female,Argentina
El perseguidor,1965,Inda Ledesma,Female,Argentina
Flooded Out,1962,Pirucho Gómez,Male,Argentina
Los superagentes no se rompen,1979,Ricardo Bauleo,Male,Argentina
Quebracho,1974,Héctor Alterio,Male,Argentina
The Hour of Mary and the Bird of Gold,1975,Leonor Manso,Female,Argentina
Las aventuras del Capitán Piluso en el castillo del terror,1963,Alberto Olmedo,Male,Argentina
La Venus maldita,1967,Libertad Leblanc,Female,Argentina
"To Dream, to Dream",1976,Gian Franco Pagliaro,Male,Argentina
Cuando calienta el sol,1964,Perla Alvarado,Female,Argentina
Cacique Bandeira,1975,Thelma Biral,Female,Argentina
Ché OVNI,1968,Jorge Sobral,Male,Argentina
The Terrace,1963,Graciela Borges,Female,Argentina
A puerta cerrada,1962,María Aurelia Bisutti,Female,Argentina
Far Away and Long Ago,1978,Juan José Camero,Male,Argentina
Proceso a la infamia,1978,Luis Aranda,Male,Argentina
Tourists Want Sex,1977,Alberto Olmedo,Male,Argentina
Tres veces Ana,1961,María Vaner,Female,Argentina
Shunko,1960,Lautaro Murúa,Male,Argentina
El despertar del sexo,1963,Nora Cárpena,Female,Argentina
Los viciosos,1962,Jorge Acuña,Male,Argentina
Husband's Holiday,1975,Jorge Porcel,Male,Argentina
Lujuria tropical,1963,Isabel Sarli,Female,Argentina
La sonrisa de mamá,1972,Liliana Abayieva,Male,Argentina
"Sábado a la noche, cine",1960,Gilda Lousek,Female,Argentina
La calesita,1963,Hugo del Carril,Male,Argentina
Chronicle of a Lady,1971,Graciela Borges,Female,Argentina
Las procesadas,1975,Liliana Abayieva,Male,Argentina
La patota,1960,Mirtha Legrand,Female,Argentina
Kill and Be Killed,1962,Olga Zubarry,Female,Argentina
Hombre que cambió de nombre,1960,Mario Lozano,Male,Argentina
Los vampiros los prefieren gorditos,1974,Jorge Porcel,Male,Argentina
Intimidad de los parques,1965,Dora Baret,Female,Argentina
Paño verde,1973,Carlos Estrada,Male,Argentina
Vivir con alegría,1979,Luis Sandrini,Male,Argentina
El Fausto criollo,1979,Daniel Fanego,Male,Argentina
Male and Female Since Adam and Eve,1961,Carlos Cores,Male,Argentina
El picnic de los Campanelli,1972,Adolfo Linvel,Male,Argentina
Love Hunger,1962,Libertad Leblanc,Female,Argentina
Hay que parar la delantera,1977,Alberto Anchart,Male,Argentina
El último amor en Tierra del Fuego,1979,Isabel Sarli,Female,Argentina
Ya tiene comisario el pueblo,1967,Niní Marshall,Female,Argentina
Amor y un poco más,1968,Atilio Marinelli,Male,Argentina
The Little Parade,1961,Marujita Díaz,Female,Argentina
He nacido en la ribera,1972,Susana Giménez,Female,Argentina
The Blonde from Buenos Aires,1961,Mamie Van Doren,Female,Argentina
Héroes de blanco,1962,Mercedes Carreras,Female,Argentina
Juan que reía,1976,Luis Brandoni,Male,Argentina
The Party Is Over,1960,Arturo García Buhr,Male,Argentina
Libertad bajo palabra,1961,Ubaldo Martínez,Male,Argentina
Accidente 703,1962,Nuria Torray,Female,Argentina
La culpa,1969,Héctor Armendáriz,Male,Argentina
Argentino hasta la muerte,1971,Héctor Alterio,Male,Argentina
Convención de vagabundos,1965,Graciela Borges,Female,Argentina
40 años de novios,1963,Lolita Torres,Female,Argentina
La fidelidad,1970,Carlos Estrada,Male,Argentina
La pérgola de las flores,1965,Marujita Díaz,Female,Argentina
El amor infiel,1974,Héctor Alterio,Male,Argentina
Hotel alojamiento,1966,Emilio Alfaro,Male,Argentina
Violated Love,1963,Libertad Leblanc,Female,Argentina
Fatso Catastrophe,1977,Jorge Porcel,Male,Argentina
Vení conmigo,1973,Susana Giménez,Female,Argentina
I Need a Mother,1966,Guillermo Battaglia,Male,Argentina
Los chiflados del batallón,1975,Adriana Aguirre,Female,Argentina
...Y mañana serán hombres,1979,Antonio Grimau,Male,Argentina
La piel del amor,1973,Susana Giménez,Female,Argentina
"Alejandra, mon amour",1979,Manolo Escobar,Male,Argentina
Heat,1960,Isabel Sarli,Female,Argentina
Paula cautiva,1963,Susana Freyre,Female,Argentina
Mosaico,1970,Aldo Bigatti,Male,Argentina
Una ventana al éxito,1966,Juan Ramón,Male,Argentina
La burrerita de Ypacaraí,1962,Isabel Sarli,Female,Argentina
Hoy le toca a mi mujer,1973,Edith Boado,Female,Argentina
Los superagentes biónicos,1977,Ricardo Bauleo,Male,Argentina
La casa de Madame Lulù,1968,Libertad Leblanc,Female,Argentina
La aventura de los paraguas asesinos,1979,Ricardo Bauleo,Male,Argentina
No toquen a la nena,1976,Luis Politti,Male,Argentina
Newcomers to Love,1969,Amelia Bence,Female,Argentina
El rey en Londres,1966,Palito Ortega,Male,Argentina
Dar la cara,1962,Leonardo Favio,Male,Argentina
The Sun in the Mirror,1963,Yvonne Bastien,Female,Argentina
La pandilla inolvidable,1972,Pablo Codevila,Male,Argentina
Carmiña: Su historia de amor,1975,María de los Ángeles Medrano,Female,Argentina
The ABC of Love,1967,Jorge Rivera López,Male,Argentina
La señora del intendente,1967,Isabel Sarli,Female,Argentina
A Bravo of the 1900's,1971,Juan Alighieri,Male,Argentina
Un toque diferente,1977,Marta Albertini,Female,Argentina
Heroine,1972,Graciela Borges,Female,Argentina
Las sorpresas,1975,Juana Hidalgo,Female,Argentina
Broken Comedy,1978,Julia von Grolman,Female,Argentina
Basta de mujeres,1977,Alberto Olmedo,Male,Argentina
Así o de otra manera,1964,Mario Passano,Male,Argentina
Die vereinte Familie in Erwartung von Hallewyns Rückkehr,1971,Osvaldo De la Vega,Male,Argentina
Tercer Mundo,1962,Pedro Aleandro,Male,Argentina
Romeo y Julieta,1966,Rodolfo Bebán,Male,Argentina
El turista,1963,José Marrone,Male,Argentina
Coche cama alojamiento,1968,Juan Carlos Altavista,Male,Argentina
Los médicos,1978,Claudio García Satur,Male,Argentina
El salame,1969,Juan Carlos Altavista,Male,Argentina
Paula contra la mitad más uno,1971,Héctor Pellegrini,Male,Argentina
Mi Buenos Aires querido,1962,Alberto Argibay,Male,Argentina
Las ruteras,1968,Pedro Aleandro,Male,Argentina
Ladies' Photographer,1978,Jorge Porcel,Male,Argentina
Las píldoras,1972,Susana Brunetti,Female,Argentina
The Hippie Professor,1969,Luis Sandrini,Male,Argentina
Villa Cariño está que arde,1968,Juan Carlos Altavista,Male,Argentina
Deliciously Amoral,1969,Libertad Leblanc,Female,Argentina
Impasse,1969,Leonor Manso,Female,Argentina
Das käufliche Mädchen,1962,Mirtha Legrand,Female,Argentina
La murga,1963,Pola Alonso,Female,Argentina
Pepper and Red Pepper,1970,Luis Sandrini,Male,Argentina
Los drogadictos,1979,Mercedes Carreras,Female,Argentina
Scandal in the Family,1967,Niní Marshall,Female,Argentina
The Venerable Ones,1963,Lautaro Murúa,Male,Argentina
La guerra de los sostenes,1976,Juan Carlos Calabró,Male,Argentina
Das Versteckspiel,1976,Marilina Ross,Female,Argentina
Prisioneros de una noche,1962,María Vaner,Female,Argentina
Escala musical,1966,Pucho Alberto,Male,Argentina
Sinnliche Haut,1964,Egle Martin,Female,Argentina
Miss Shumway Goes West,1963,Tania Béryl,Male,Argentina
"Chão, amor",1968,Juan Ramón,Male,Argentina
Un elefante color ilusión,1970,Pablo Codevila,Male,Argentina
Clínica con música,1974,Marta Bianchi,Female,Argentina
Nino,1972,Enzo Viena,Male,Argentina
Alias Big Shot,1961,Alberto Argibay,Male,Argentina
Am Rande der Gesellschaft,1961,Carlos Estrada,Male,Argentina
"Rolando Rivas, taxista",1974,Claudio García Satur,Male,Argentina
Máscaras en otoño,1966,María Cristina Laurenz,Female,Argentina
Nadie oyó gritar a Cecilio Fuentes,1965,Alberto Argibay,Male,Argentina
Yesterday's Boys Didn't Use Hair Fixers,1969,Rodolfo Bebán,Male,Argentina
El encanto del amor prohibido,1974,Elisabeth Wiener,Female,Argentina
Los éxitos del amor,1979,Claudio Levrino,Male,Argentina
Patapufete!,1967,Pepe Biondi,Male,Argentina
El lobo,1972,Narciso Ibáñez Menta,Male,Argentina
El casamiento de Laucha,1977,Marta Albertini,Female,Argentina
Dos en el mundo,1966,Ariel Absalón,Male,Argentina
La familia Falcón,1963,Pedro Quartucci,Male,Argentina
Puntos suspensivos o Esperando a los bárbaros,1971,Roberto Villanueva,Male,Argentina
Los guerrilleros,1965,Arturo García Buhr,Male,Argentina
El inglés de los güesos,1975,Ernesto Bianco,Male,Argentina
Con alma y vida,1970,María Aurelia Bisutti,Female,Argentina
"Netri, el mártir de Alcorta",1977,Pepe Soriano,Male,Argentina
Lucecita,1976,Eloy Arenas,Male,Argentina
La Raulito en libertad,1977,Marilina Ross,Female,Argentina
El derecho a la felicidad,1968,Juan Carlos Altavista,Male,Argentina
Such Is Life,1977,Enzo Bai,Male,Argentina
Las ratas,1963,Aurora Bautista,Female,Argentina
En el gran circo,1974,Nelly Beltrán,Female,Argentina
Four Women for One Hero,1962,Alida Valli,Female,Argentina
El derecho de gozar,1968,Ricardo Bauleo,Male,Argentina
Crazy Women,1977,Mercedes Carreras,Female,Argentina
Long Live Life,1969,Mercedes Carreras,Female,Argentina
La muchacha del cuerpo de oro,1967,Thelma Tixou,Female,Argentina
Anteojito and Antifaz: A Thousand Attempts and One Invention,1972,Marión Tiffemberg,Male,Argentina
Im Schatten vieler Jahre,1975,Cipe Lincovsky,Female,Argentina
Luna Park,1960,Pepe Armil,Male,Argentina
¿De quiénes son las mujeres?,1972,Luis Landriscina,Male,Argentina
Un viaje al más allá,1964,Guillermo Battaglia,Male,Argentina
La aventura explosiva,1977,Ricardo Bauleo,Male,Argentina
The Dough,1970,Norman Briski,Male,Argentina
La balada del regreso,1974,Hugo Arana,Male,Argentina
Todo sol es amargo,1966,Adriana Aizemberg,Female,Argentina
Demon in the Blood,1964,Rosita Quintana,Female,Argentina
Beto Nervio contra el poder de las tinieblas,1979,Jorge Hayes,Male,Argentina
"Lindor Covas, el cimarrón",1963,Carlos Cores,Male,Argentina
Me enamoré sin darme cuenta,1972,Sergio Denis,Male,Argentina
Mr. and Mrs. Juan Lamaglia,1970,Pepe Soriano,Male,Argentina
Kuma Ching,1969,Luis Sandrini,Male,Argentina
Orden de matar,1965,Jorge Salcedo,Male,Argentina
Autocine mon amour,1972,Luis Brandoni,Male,Argentina
La muchachada de a bordo,1967,Leo Dan,Male,Argentina
Buscando a Mónica,1962,Carmen Sevilla,Female,Argentina
Así es Buenos Aires,1971,Hugo Marcel,Male,Argentina
Álamos talados,1960,José Luis Suárez,Male,Argentina
La casa del amor,1973,Osvaldo Canónico,Male,Argentina
Conjugal Pleasures,1964,Luis Sandrini,Male,Argentina
Beyond the Sun,1975,Roberto Airaldi,Male,Argentina
El profesor patagónico,1970,Luis Sandrini,Male,Argentina
La gran ruta,1971,Mimí Pons,Female,Argentina
El ayudante,1971,Pepe Soriano,Male,Argentina
Hay que matar a Drácula,1968,Narciso Ibáñez Menta,Male,Argentina
Los chantas,1975,Norberto Aroldi,Male,Argentina
Pepper,1966,Luis Sandrini,Male,Argentina
Quinto año nacional,1961,Santiago Gómez Cou,Male,Argentina
The Escaped,1964,Juan Carlos Altavista,Male,Argentina
Amigos para la aventura,1978,Palito Ortega,Male,Argentina
El crack,1960,Jorge Salcedo,Male,Argentina
La flor de la mafia,1974,Federico Luppi,Male,Argentina
Die phantastische Welt der Maria Montiel,1978,Rodolfo Bebán,Male,Argentina
I Did Kill Facundo,1975,Federico Luppi,Male,Argentina
Growing Up Suddenly,1977,Ubaldo Martínez,Male,Argentina
No apto para menores,1979,Thelma Stefani,Female,Argentina
Los de la mesa 10,1960,María Aurelia Bisutti,Female,Argentina
La mujer del zapatero,1965,Isabel Sarli,Female,Argentina
"The Dead, the Devil and the Flesh",1974,Carlos Estrada,Male,Argentina
El campeón soy yo,1960,Cayetano Biondo,Male,Argentina
La potranca,1960,Maruja Montes,Female,Argentina
Plaza Huincul (Pozo Uno),1960,Guillermo Murray,Male,Argentina
Los días que me diste,1975,Inda Ledesma,Female,Argentina
Detrás de la mentira,1962,Alberto Barcel,Male,Argentina
That Forward Center Dies at Dawn,1961,Arturo Arcari,Male,Argentina
Me gusta esa chica,1973,Jacques Arndt,Male,Argentina
Crimen en el hotel alojamiento,1974,Nelly Beltrán,Female,Argentina
Difunta Correa,1975,Lucy Campbell,Male,Argentina
La nueva cigarra,1977,Olga Zubarry,Female,Argentina
People in Buenos Aires,1974,Luis Brandoni,Male,Argentina
Gente conmigo,1967,Violeta Antier,Female,Argentina
Donde duermen dos... duermen tres,1979,Susana Giménez,Female,Argentina
Hotel de señoritas,1979,Jorge Martínez,Male,Argentina
Players vs. ángeles caídos,1969,Luis Barrón,Male,Argentina
La mujer de tu prójimo,1966,Mario Baroffio,Male,Argentina
El profesor erótico,1976,Osvaldo Pacheco,Male,Argentina
The Super Super Adventure,1975,Adriana Aguirre,Female,Argentina
Coup de Grace,1969,Sergio Mulet,Male,Argentina
Culpable,1960,Hugo del Carril,Male,Argentina
"Yo gané el prode, ¿y usted?",1973,Ricardo Bauleo,Male,Argentina
Muchacho que vas cantando,1971,Palito Ortega,Male,Argentina
Gracia y el forastero,1974,Enzo Viena,Male,Argentina
Un gaucho con plata,1970,Susana Brunetti,Female,Argentina
The Inheritance,1964,Juan Verdaguer,Male,Argentina
Las aventuras de Marcelo,1969,Ubaldo Martínez,Male,Argentina
Sebastián y su amigo el artista,1971,Selva Alemán,Female,Argentina
"Villa Delicia: playa de estacionamiento, música ambiental",1966,Rosángela Balbó,Female,Argentina
Tiernas ilusiones,1961,Manuel Alcón,Male,Argentina
"Komm auf die Couch, Luise",1968,Norman Briski,Male,Argentina
Siempre fuimos compañeros,1973,Hugo del Carril,Male,Argentina
Arm in Arm Down the Street,1966,Jacques Arndt,Male,Argentina
Aconcagua,1964,Tito Alonso,Male,Argentina
Las locas del conventillo,1966,Analía Gadé,Female,Argentina
El regreso,1974,Narciso Ibáñez Menta,Male,Argentina
Crimen sin olvido,1968,Rosángela Balbó,Female,Argentina
"Vuelvo a vivir, vuelvo a cantar",1971,Sabú,Male,Argentina
Die Lasterhafte,1964,Virginia Lago,Female,Argentina
Fiebre de primavera,1965,Palito Ortega,Male,Argentina
La mamá de la novia,1978,Libertad Lamarque,Female,Argentina
Santiago querido!,1965,Leo Dan,Male,Argentina
Los días de Julián Bisbal,1966,Adriana Aizemberg,Female,Argentina
La valija,1971,Luis Sandrini,Male,Argentina
Natasha,1974,Thelma Stefani,Female,Argentina
Pelota de cuero,1963,Alberto Barcel,Male,Argentina
"Eeny, Meeny, Miny, Mo",1968,Luis Brandoni,Male,Argentina
Crazy Love,1979,Irene Morack,Male,Argentina
El asalto,1960,Alberto de Mendoza,Male,Argentina
El ejército,1969,Carlos Roffé,Male,Argentina
Disputas en la cama,1972,Tato Bores,Male,Argentina
Luces de mis zapatos,1973,Paulino Andrada,Male,Argentina
The Novel of a Poor Young Man,1968,Leo Dan,Male,Argentina
Ritmo nuevo y vieja ola,1965,Roberto Airaldi,Male,Argentina
La familia hippie,1971,Palito Ortega,Male,Argentina
Mr. President,1970,Luis Brandoni,Male,Argentina
Los tímidos visten de gris,1965,Tito Alonso,Male,Argentina
Alone,1976,Graciela Borges,Female,Argentina
A World of Love,1975,Andrea Del Boca,Female,Argentina
"Adiós, Alejandra, Andrea",1973,Ángel Magaña,Male,Argentina
"Constancia, una esposa constante",1976,Alberto Argibay,Male,Argentina
Viaje de una noche de verano,1965,Tato Bores,Male,Argentina
Ich möchte mit Dir leben,1960,Alberto de Mendoza,Male,Argentina
Cuidado con las colas,1964,María Armand,Male,Argentina
Matrimonio a la argentina,1968,Tono Andreu,Male,Argentina
Los inconstantes,1962,Alberto Argibay,Male,Argentina
El galleguito de la cara sucia,1966,Juan Ramón,Male,Argentina
Los mochileros,1970,Ricardo Bauleo,Male,Argentina
Ufa con el sexo,1968,Elsa Daniel,Female,Argentina
El destino,1971,Julia Elena Dávalos,Female,Argentina
Con mi mujer no puedo,1978,Enzo Bai,Male,Argentina
Corazón valiente,1969,María Valenzuela,Female,Argentina
Con gusto a rabia,1965,Mirtha Legrand,Female,Argentina
Contragolpe,1979,Marcelo Alfaro,Male,Argentina
Interpol llamando a Río,1961,Tito Alonso,Male,Argentina
Maternidad sin hombres,1968,Roberto Airaldi,Male,Argentina
Eloy,1969,Raúl Parini,Male,Argentina
My First Girl Friend,1965,Palito Ortega,Male,Argentina
Desnudas,1977,Jorge Porcel,Male,Argentina
The Terrorist,1962,Emilio Alfaro,Male,Argentina
"Joven, viuda y estanciera",1970,Lolita Torres,Female,Argentina
Mi amigo Luis,1972,Luis Sandrini,Male,Argentina
¡Quiero besarlo señor!,1973,Guillermo Bredeston,Male,Argentina
La pesadilla,1974,Narciso Ibáñez Menta,Male,Argentina
Racconto,1963,Anita Larronde,Female,Argentina
Do What You Want,1973,Guillermo Battaglia,Male,Argentina
La buena vida,1966,Tito Alonso,Male,Argentina
Separate Tables,1974,María Concepción César,Female,Argentina
El ángel de la muerte,1971,Narciso Ibáñez Menta,Male,Argentina
Muñequitas de medianoche,1974,Betiana Blum,Female,Argentina
Secuestro y muerte de Mr. Dupont,1974,Cecilia Rossetto,Female,Argentina
Bettina,1964,Marty Cosens,Male,Argentina
Chafalonías,1960,Alberto Bello,Male,Argentina
Gotán,1979,Carlos Carlsen,Male,Argentina
Río abajo,1960,Narciso Bruce,Male,Argentina
Those Crazy Years,1971,Palito Ortega,Male,Argentina
Las furias,1960,Mecha Ortiz,Female,Argentina
El buho,1975,Sara Bonet,Female,Argentina
Fuiste mía un verano,1969,Leonardo Favio,Male,Argentina
Flor de piolas,1969,Ángel Magaña,Male,Argentina
Del brazo con la muerte,1966,Julio Bianquet,Male,Argentina
La gorda,1966,Rosángela Balbó,Female,Argentina
Me First,1964,Alberto de Mendoza,Male,Argentina
Amor libre,1969,Juan Carlos Altavista,Male,Argentina
Los orilleros,1975,Rodolfo Bebán,Male,Argentina
Sombras en el cielo,1964,Enrique Borrás,Male,Argentina
Destino para dos,1968,Horacio Accavallo,Male,Argentina
Asalto a la ciudad,1968,Agustín Barrios,Male,Argentina
Y el cuerpo sigue aguantando,1961,Tota Alba,Female,Argentina
Elizabeth Is Dead,1960,Mecha Ortiz,Female,Argentina
El profesor Tirabombas,1972,Luis Sandrini,Male,Argentina
"Cosquín, amor y folklore",1965,Elsa Daniel,Female,Argentina
Yo tengo fe,1974,Palito Ortega,Male,Argentina
Los superagentes y el tesoro maldito,1978,Ricardo Bauleo,Male,Argentina
Un lugar al sol,1965,María Cristina Laurenz,Female,Argentina
La esposa constante,1979,Susana Rinaldi,Female,Argentina
Todo el año es Navidad,1960,Raúl Rossi,Male,Argentina
El bruto,1962,Susana Campos,Female,Argentina
Forbidden Things Are in Fashion,1968,Juan Carlos Altavista,Male,Argentina
¡Esto es alegría!,1967,Tita Merello,Female,Argentina
Rata de puerto,1963,Zulma Faiad,Female,Argentina
Póker de amantes para tres,1969,Oscar Brizuela,Male,Argentina
Propiedad,1962,Nelly Beltrán,Female,Argentina
La civilización está haciendo masa y no deja oir,1974,Irma Brandeman,Male,Argentina
Mujeres perdidas,1964,Jorge Salcedo,Male,Argentina
"Dr. Cándido Pérez, señoras",1962,Juan Carlos Thorry,Male,Argentina
Patolandia nuclear,1978,Rafael Carret,Male,Argentina
Pájaro loco,1971,Aldo Bigatti,Male,Argentina
La cómplice,1966,Libertad Leblanc,Female,Argentina
Double Edged Crime,1965,Susana Campos,Female,Argentina
Los cuatro secretos,1976,Paqui Balaguer,Male,Argentina
La gran felicidad,1966,Carlos Borsani,Male,Argentina
De cara al cielo,1979,Leonor Benedetto,Female,Argentina
La zarpa,1974,Narciso Ibáñez Menta,Male,Argentina
"Carlos Gardel, historia de un ídolo",1964,Carlos Gardel,Male,Argentina
¡Cómo te extraño...!,1966,Leo Dan,Male,Argentina
El gordo Villanueva,1964,Jorge Porcel,Male,Argentina
Ese que siempre esta solo,1964,Aldo Barbero,Male,Argentina
Cooperativistas,1972,Luis Landriscina,Male,Argentina
El tío Disparate,1978,Palito Ortega,Male,Argentina
"Minguito Tinguitela, papá",1974,Juan Carlos Altavista,Male,Argentina
Repita con nosotros el siguiente ejercicio,1973,Arturo Maly,Male,Argentina
¡Al diablo con este cura!,1967,Luis Sandrini,Male,Argentina
Póker de amantes para tres,1973,Ana María Calí,Male,Argentina
Todos a la vez,1969,María Vaner,Female,Argentina
El trapero,1974,Narciso Ibáñez Menta,Male,Argentina
Con el más puro amor,1966,Mario Fortuna,Male,Argentina
"De profesión, sospechosos",1966,Tono Andreu,Male,Argentina
El octavo infierno,1964,Rosita Quintana,Female,Argentina
María M.,1964,Libertad Leblanc,Female,Argentina
Gran Hotel Carroussell,1967,Eduardo Bergara Leumann,Male,Argentina
Gotán,1965,Luis Medina Castro,Male,Argentina
Chúmbale,1968,Santiago Bal,Male,Argentina
El televisor,1962,Ubaldo Martínez,Male,Argentina
Rumbos malditos,1962,Carlos Cores,Male,Argentina
